	bins [ps]	counts [#]
925	3700000.0	321.0
926	3704000.0	314.0
927	3708000.0	318.0
928	3712000.0	349.0
929	3716000.0	320.0
930	3720000.0	359.0
931	3724000.0	342.0
932	3728000.0	366.0
933	3732000.0	331.0
934	3736000.0	326.0
935	3740000.0	329.0
936	3744000.0	328.0
937	3748000.0	302.0
938	3752000.0	343.0
939	3756000.0	332.0
940	3760000.0	311.0
941	3764000.0	313.0
942	3768000.0	355.0
943	3772000.0	346.0
944	3776000.0	300.0
945	3780000.0	335.0
946	3784000.0	326.0
947	3788000.0	359.0
948	3792000.0	297.0
949	3796000.0	315.0
950	3800000.0	334.0
951	3804000.0	333.0
952	3808000.0	332.0
953	3812000.0	320.0
954	3816000.0	315.0
955	3820000.0	333.0
956	3824000.0	337.0
957	3828000.0	293.0
958	3832000.0	346.0
959	3836000.0	357.0
960	3840000.0	317.0
961	3844000.0	351.0
962	3848000.0	364.0
963	3852000.0	348.0
964	3856000.0	331.0
965	3860000.0	337.0
966	3864000.0	327.0
967	3868000.0	294.0
968	3872000.0	294.0
969	3876000.0	325.0
970	3880000.0	311.0
971	3884000.0	316.0
972	3888000.0	348.0
973	3892000.0	326.0
974	3896000.0	333.0
975	3900000.0	344.0
976	3904000.0	354.0
977	3908000.0	303.0
978	3912000.0	319.0
979	3916000.0	302.0
980	3920000.0	363.0
981	3924000.0	291.0
982	3928000.0	327.0
983	3932000.0	324.0
984	3936000.0	320.0
985	3940000.0	334.0
986	3944000.0	324.0
987	3948000.0	301.0
988	3952000.0	299.0
989	3956000.0	325.0
990	3960000.0	319.0
991	3964000.0	331.0
992	3968000.0	317.0
993	3972000.0	346.0
994	3976000.0	328.0
995	3980000.0	307.0
996	3984000.0	304.0
997	3988000.0	363.0
998	3992000.0	337.0
999	3996000.0	318.0
1000	4000000.0	316.0
1001	4004000.0	311.0
1002	4008000.0	325.0
1003	4012000.0	325.0
1004	4016000.0	355.0
1005	4020000.0	296.0
1006	4024000.0	293.0
1007	4028000.0	330.0
1008	4032000.0	335.0
1009	4036000.0	316.0
1010	4040000.0	319.0
1011	4044000.0	294.0
1012	4048000.0	311.0
1013	4052000.0	332.0
1014	4056000.0	282.0
1015	4060000.0	343.0
1016	4064000.0	310.0
1017	4068000.0	331.0
1018	4072000.0	329.0
1019	4076000.0	314.0
1020	4080000.0	322.0
1021	4084000.0	315.0
1022	4088000.0	270.0
1023	4092000.0	341.0
1024	4096000.0	312.0
1025	4100000.0	313.0
1026	4104000.0	322.0
1027	4108000.0	357.0
1028	4112000.0	309.0
1029	4116000.0	297.0
1030	4120000.0	302.0
1031	4124000.0	316.0
1032	4128000.0	308.0
1033	4132000.0	314.0
1034	4136000.0	316.0
1035	4140000.0	314.0
1036	4144000.0	316.0
1037	4148000.0	319.0
1038	4152000.0	326.0
1039	4156000.0	324.0
1040	4160000.0	310.0
1041	4164000.0	309.0
1042	4168000.0	316.0
1043	4172000.0	334.0
1044	4176000.0	352.0
1045	4180000.0	330.0
1046	4184000.0	309.0
1047	4188000.0	322.0
1048	4192000.0	299.0
1049	4196000.0	305.0
1050	4200000.0	332.0
1051	4204000.0	347.0
1052	4208000.0	314.0
1053	4212000.0	296.0
1054	4216000.0	259.0
1055	4220000.0	287.0
1056	4224000.0	337.0
1057	4228000.0	310.0
1058	4232000.0	331.0
1059	4236000.0	318.0
1060	4240000.0	311.0
1061	4244000.0	305.0
1062	4248000.0	330.0
1063	4252000.0	331.0
1064	4256000.0	306.0
1065	4260000.0	327.0
1066	4264000.0	313.0
1067	4268000.0	326.0
1068	4272000.0	293.0
1069	4276000.0	319.0
1070	4280000.0	302.0
1071	4284000.0	354.0
1072	4288000.0	338.0
1073	4292000.0	307.0
1074	4296000.0	334.0
1075	4300000.0	311.0
1076	4304000.0	323.0
1077	4308000.0	310.0
1078	4312000.0	318.0
1079	4316000.0	345.0
1080	4320000.0	304.0
1081	4324000.0	285.0
1082	4328000.0	305.0
1083	4332000.0	307.0
1084	4336000.0	296.0
1085	4340000.0	324.0
1086	4344000.0	322.0
1087	4348000.0	312.0
1088	4352000.0	321.0
1089	4356000.0	302.0
1090	4360000.0	297.0
1091	4364000.0	314.0
1092	4368000.0	325.0
1093	4372000.0	289.0
1094	4376000.0	326.0
1095	4380000.0	314.0
1096	4384000.0	296.0
1097	4388000.0	337.0
1098	4392000.0	297.0
1099	4396000.0	302.0
1100	4400000.0	338.0
1101	4404000.0	303.0
1102	4408000.0	280.0
1103	4412000.0	298.0
1104	4416000.0	293.0
1105	4420000.0	323.0
1106	4424000.0	306.0
1107	4428000.0	299.0
1108	4432000.0	317.0
1109	4436000.0	305.0
1110	4440000.0	332.0
1111	4444000.0	307.0
1112	4448000.0	309.0
1113	4452000.0	322.0
1114	4456000.0	342.0
1115	4460000.0	300.0
1116	4464000.0	330.0
1117	4468000.0	304.0
1118	4472000.0	330.0
1119	4476000.0	326.0
1120	4480000.0	329.0
1121	4484000.0	306.0
1122	4488000.0	291.0
1123	4492000.0	321.0
1124	4496000.0	348.0
1125	4500000.0	304.0
1126	4504000.0	303.0
1127	4508000.0	290.0
1128	4512000.0	313.0
1129	4516000.0	314.0
1130	4520000.0	326.0
1131	4524000.0	309.0
1132	4528000.0	324.0
1133	4532000.0	303.0
1134	4536000.0	313.0
1135	4540000.0	280.0
1136	4544000.0	272.0
1137	4548000.0	288.0
1138	4552000.0	320.0
1139	4556000.0	305.0
1140	4560000.0	289.0
1141	4564000.0	333.0
1142	4568000.0	328.0
1143	4572000.0	314.0
1144	4576000.0	328.0
1145	4580000.0	307.0
1146	4584000.0	309.0
1147	4588000.0	317.0
1148	4592000.0	301.0
1149	4596000.0	329.0
1150	4600000.0	285.0
1151	4604000.0	322.0
1152	4608000.0	327.0
1153	4612000.0	298.0
1154	4616000.0	297.0
1155	4620000.0	315.0
1156	4624000.0	329.0
1157	4628000.0	271.0
1158	4632000.0	294.0
1159	4636000.0	313.0
1160	4640000.0	289.0
1161	4644000.0	301.0
1162	4648000.0	292.0
1163	4652000.0	309.0
1164	4656000.0	293.0
1165	4660000.0	286.0
1166	4664000.0	314.0
1167	4668000.0	344.0
1168	4672000.0	309.0
